country,purpose,type,purpose_type,values,date
China,Long-term_resident,return,,297,31/07/2021
China,Long-term_visitor,arrival,,152,31/07/2021
China,Long-term_visitor,departure,,3663,31/07/2021
China,Settler_arrival,,,479,31/07/2021
China,Short-term_resident,departure,,951,31/07/2021
China,Short-term_resident,return,,335,31/07/2021
China,Short-term_visitor,arrival,,274,31/07/2021
China,Short-term_visitor,departure,,111,31/07/2021
China,total,,,6572,31/07/2021
China,business,Long-term_resident,return,17,31/07/2021
China,business,Long-term_visitor,arrival,14,31/07/2021
China,business,Short-term_resident,return,39,31/07/2021
China,business,Short-term_visitor,arrival,38,31/07/2021
China,business,total,,108,31/07/2021
China,convention,Long-term_resident,return,6,31/07/2021
China,convention,Long-term_visitor,arrival,0,31/07/2021
China,convention,Short-term_resident,return,0,31/07/2021
China,convention,Short-term_visitor,arrival,2,31/07/2021
China,convention,total,,8,31/07/2021
China,education,Long-term_resident,return,17,31/07/2021
China,education,Long-term_visitor,arrival,79,31/07/2021
China,education,Short-term_resident,return,19,31/07/2021
China,education,Short-term_visitor,arrival,52,31/07/2021
China,education,total,,167,31/07/2021
China,employment,Long-term_resident,return,49,31/07/2021
China,employment,Long-term_visitor,arrival,19,31/07/2021
China,employment,Short-term_resident,return,29,31/07/2021
China,employment,Short-term_visitor,arrival,16,31/07/2021
China,employment,total,,113,31/07/2021
China,exhinbition,Long-term_resident,return,0,31/07/2021
China,exhinbition,Long-term_visitor,arrival,2,31/07/2021
China,exhinbition,Short-term_resident,return,0,31/07/2021
China,exhinbition,Short-term_visitor,arrival,1,31/07/2021
China,exhinbition,total,,3,31/07/2021
China,holiday,Long-term_resident,return,1,31/07/2021
China,holiday,Long-term_visitor,arrival,0,31/07/2021
China,holiday,Short-term_resident,return,87,31/07/2021
China,holiday,Short-term_visitor,arrival,17,31/07/2021
China,holiday,total,,105,31/07/2021
China,other,Long-term_resident,departure,310,31/07/2021
China,other,Long-term_resident,return,83,31/07/2021
China,other,Long-term_visitor,arrival,15,31/07/2021
China,other,Long-term_visitor,departure,3663,31/07/2021
China,other,Settler_arrival,,479,31/07/2021
China,other,Short-term_resident,departure,951,31/07/2021
China,other,Short-term_resident,return,44,31/07/2021
China,other,Short-term_visitor,arrival,39,31/07/2021
China,other,Short-term_visitor,departure,111,31/07/2021
China,other,total,,5695,31/07/2021
China,visit,Long-term_resident,return,124,31/07/2021
China,visit,Long-term_visitor,arrival,23,31/07/2021
China,visit,Short-term_resident,return,116,31/07/2021
China,visit,Short-term_visitor,arrival,109,31/07/2021
China,visit,total,,373,31/07/2021
NewZealand,visit,Long-term_resident,return,264,31/07/2021
NewZealand,visit,Long-term_visitor,arrival,65,31/07/2021
NewZealand,visit,Short-term_resident,return,11082,31/07/2021
NewZealand,visit,Short-term_visitor,arrival,7537,31/07/2021
NewZealand,visit,total,,18948,31/07/2021
NewZealand,other,Long-term_resident,departure,1286,31/07/2021
NewZealand,other,Long-term_resident,return,241,31/07/2021
NewZealand,other,Long-term_visitor,arrival,56,31/07/2021
