time,state,value
2021-07-01,ACT_a,932
2021-07-01,ACT_b,1454
2021-07-01,ACT_c,2386
2021-07-01,NSW_a,29940
2021-07-01,NSW_b,27360
2021-07-01,NSW_c,57300
2021-07-01,NT_a,617
2021-07-01,NT_b,714
2021-07-01,NT_c,1331
2021-07-01,QLD_a,16392
2021-07-01,QLD_b,20874
2021-07-01,QLD_c,37266
2021-07-01,SA_a,2054
2021-07-01,SA_b,2657
2021-07-01,SA_c,4711
2021-07-01,TAS_a,1089
2021-07-01,TAS_b,1273
2021-07-01,TAS_c,2362
2021-07-01,VIC_a,16178
2021-07-01,VIC_b,19446
2021-07-01,VIC_c,35624
2021-07-01,WA_a,6042
2021-07-01,WA_b,8242
2021-07-01,WA_c,14284
2021-08-01,ACT_a,615
2021-08-01,ACT_b,888
2021-08-01,ACT_c,1503
2021-08-01,NSW_a,6140
2021-08-01,NSW_b,14588
2021-08-01,NSW_c,20728
2021-08-01,NT_a,824
2021-08-01,NT_b,487
2021-08-01,NT_c,1311
2021-08-01,QLD_a,6502
2021-08-01,QLD_b,4866
2021-08-01,QLD_c,11368
2021-08-01,SA_a,973
2021-08-01,SA_b,1267
2021-08-01,SA_c,2240
2021-08-01,TAS_a,432
2021-08-01,TAS_b,251
2021-08-01,TAS_c,683
2021-08-01,VIC_a,6208
2021-08-01,VIC_b,7666
2021-08-01,VIC_c,13874
2021-08-01,WA_a,3814
2021-08-01,WA_b,2888
2021-08-01,WA_c,6702
2021-09-01,ACT_a,540
2021-09-01,ACT_b,634
2021-09-01,ACT_c,1174
2021-09-01,NSW_a,4672
2021-09-01,NSW_b,11124
2021-09-01,NSW_c,15796
2021-09-01,NT_a,1098
2021-09-01,NT_b,424
2021-09-01,NT_c,1522
2021-09-01,QLD_a,4002
2021-09-01,QLD_b,3770
2021-09-01,QLD_c,7772
2021-09-01,SA_a,928
2021-09-01,SA_b,941
2021-09-01,SA_c,1869
2021-09-01,TAS_a,282
2021-09-01,TAS_b,207
2021-09-01,TAS_c,489
2021-09-01,VIC_a,4107
2021-09-01,VIC_b,7099
2021-09-01,VIC_c,11206
2021-09-01,WA_a,2279
2021-09-01,WA_b,2450
2021-09-01,WA_c,4729
2021-10-01,ACT_a,387
2021-10-01,ACT_b,750
2021-10-01,ACT_c,1137
2021-10-01,NSW_a,3797
2021-10-01,NSW_b,12363
2021-10-01,NSW_c,16160
2021-10-01,NT_a,666
2021-10-01,NT_b,552
2021-10-01,NT_c,1218
2021-10-01,QLD_a,3950
2021-10-01,QLD_b,4689
2021-10-01,QLD_c,8639
2021-10-01,SA_a,782
2021-10-01,SA_b,1123
2021-10-01,SA_c,1905
2021-10-01,TAS_a,467
2021-10-01,TAS_b,297
2021-10-01,TAS_c,764
2021-10-01,VIC_a,3270
2021-10-01,VIC_b,9243
2021-10-01,VIC_c,12513
2021-10-01,WA_a,2456
2021-10-01,WA_b,2865
2021-10-01,WA_c,5321
2021-11-01,ACT_a,1878
2021-11-01,ACT_b,2092
2021-11-01,ACT_c,3970
2021-11-01,NSW_a,34623
2021-11-01,NSW_b,38304
2021-11-01,NSW_c,72927
2021-11-01,NT_a,747
2021-11-01,NT_b,880
2021-11-01,NT_c,1627
2021-11-01,QLD_a,5085
2021-11-01,QLD_b,7587
2021-11-01,QLD_c,12672
2021-11-01,SA_a,1851
2021-11-01,SA_b,2277
2021-11-01,SA_c,4128
2021-11-01,TAS_a,829
2021-11-01,TAS_b,515
2021-11-01,TAS_c,1344
2021-11-01,VIC_a,21551
2021-11-01,VIC_b,26627
2021-11-01,VIC_c,48178
2021-11-01,WA_a,4044
2021-11-01,WA_b,4053
2021-11-01,WA_c,8097
2021-12-01,ACT_a,4875
2021-12-01,ACT_b,5616
2021-12-01,ACT_c,10491
2021-12-01,NSW_a,96508
2021-12-01,NSW_b,108796
2021-12-01,NSW_c,205304
2021-12-01,NT_a,983
2021-12-01,NT_b,1161
2021-12-01,NT_c,2144
2021-12-01,QLD_a,11196
2021-12-01,QLD_b,17117
2021-12-01,QLD_c,28313
2021-12-01,SA_a,5157
2021-12-01,SA_b,4935
2021-12-01,SA_c,10092
2021-12-01,TAS_a,1956
2021-12-01,TAS_b,1086
2021-12-01,TAS_c,3042
2021-12-01,VIC_a,66931
2021-12-01,VIC_b,69049
2021-12-01,VIC_c,135980
2021-12-01,WA_a,4663
2021-12-01,WA_b,6268
2021-12-01,WA_c,10931
2022-01-01,ACT_a,6921
2022-01-01,ACT_b,3968
2022-01-01,ACT_c,10889
2022-01-01,NSW_a,129641
2022-01-01,NSW_b,84316
2022-01-01,NSW_c,213957
2022-01-01,NT_a,1433
2022-01-01,NT_b,967
2022-01-01,NT_c,2400
2022-01-01,QLD_a,21797
2022-01-01,QLD_b,13781
2022-01-01,QLD_c,35578
2022-01-01,SA_a,9067
2022-01-01,SA_b,5084
2022-01-01,SA_c,14151
2022-01-01,TAS_a,1931
2022-01-01,TAS_b,1198
2022-01-01,TAS_c,3129
2022-01-01,VIC_a,88071
2022-01-01,VIC_b,58432
2022-01-01,VIC_c,146503
2022-01-01,WA_a,2842
2022-01-01,WA_b,6829
2022-01-01,WA_c,9671
2022-02-01,ACT_a,6182
2022-02-01,ACT_b,3481
2022-02-01,ACT_c,9663
2022-02-01,NSW_a,106451
2022-02-01,NSW_b,70194
2022-02-01,NSW_c,176645
2022-02-01,NT_a,1817
2022-02-01,NT_b,1073
2022-02-01,NT_c,2890
2022-02-01,QLD_a,35951
2022-02-01,QLD_b,20291
2022-02-01,QLD_c,56242
2022-02-01,SA_a,11769
2022-02-01,SA_b,6083
2022-02-01,SA_c,17852
2022-02-01,TAS_a,2194
2022-02-01,TAS_b,1325
2022-02-01,TAS_c,3519
2022-02-01,VIC_a,90216
2022-02-01,VIC_b,52095
2022-02-01,VIC_c,142311
2022-02-01,WA_a,10814
2022-02-01,WA_b,7140
2022-02-01,WA_c,17954
2022-03-01,ACT_a,6922
2022-03-01,ACT_b,6260
2022-03-01,ACT_c,13182
2022-03-01,NSW_a,139326
2022-03-01,NSW_b,125497
2022-03-01,NSW_c,264823
2022-03-01,NT_a,1547
2022-03-01,NT_b,1926
2022-03-01,NT_c,3473
2022-03-01,QLD_a,59792
2022-03-01,QLD_b,49974
2022-03-01,QLD_c,109766
2022-03-01,SA_a,14393
2022-03-01,SA_b,10754
2022-03-01,SA_c,25147
2022-03-01,TAS_a,3149
2022-03-01,TAS_b,2623
2022-03-01,TAS_c,5772
2022-03-01,VIC_a,107514
2022-03-01,VIC_b,91375
2022-03-01,VIC_c,198889
2022-03-01,WA_a,30380
2022-03-01,WA_b,20384
2022-03-01,WA_c,50764
2022-04-01,ACT_a,10423
2022-04-01,ACT_b,10905
2022-04-01,ACT_c,21328
2022-04-01,NSW_a,210708
2022-04-01,NSW_b,230822
2022-04-01,NSW_c,441530
2022-04-01,NT_a,2890
2022-04-01,NT_b,3433
2022-04-01,NT_c,6323
2022-04-01,QLD_a,99331
2022-04-01,QLD_b,90409
2022-04-01,QLD_c,189740
2022-04-01,SA_a,18094
2022-04-01,SA_b,19593
2022-04-01,SA_c,37687
2022-04-01,TAS_a,4464
2022-04-01,TAS_b,4780
2022-04-01,TAS_c,9244
2022-04-01,VIC_a,161604
2022-04-01,VIC_b,166578
2022-04-01,VIC_c,328182
2022-04-01,WA_a,54733
2022-04-01,WA_b,52212
2022-04-01,WA_c,106945
2022-05-01,ACT_a,11057
2022-05-01,ACT_b,10951
2022-05-01,ACT_c,22008
2022-05-01,NSW_a,234642
2022-05-01,NSW_b,238103
2022-05-01,NSW_c,472745
2022-05-01,NT_a,4782
2022-05-01,NT_b,4803
2022-05-01,NT_c,9585
2022-05-01,QLD_a,112770
2022-05-01,QLD_b,104655
2022-05-01,QLD_c,217425
2022-05-01,SA_a,23981
2022-05-01,SA_b,22500
2022-05-01,SA_c,46481
2022-05-01,TAS_a,5840
2022-05-01,TAS_b,5906
2022-05-01,TAS_c,11746
2022-05-01,VIC_a,181746
2022-05-01,VIC_b,173530
2022-05-01,VIC_c,355276
2022-05-01,WA_a,60999
2022-05-01,WA_b,64177
2022-05-01,WA_c,125176
